Name,Status,Timestamp
Trolleys Superstore,Duplicate,2025-10-26 16:56:33.798703
Mallmart Supermarket,Added,2025-10-26 16:56:37.289520
HANDY BASKET SUPERSTORE,Added,2025-10-26 16:57:05.217054
Spar Tejuosho,Duplicate,2025-10-26 16:57:07.363541
LAIT STORES,Added,2025-10-26 16:57:11.561230
Tonyson Pharmacy and Stores,Added,2025-10-26 16:57:14.942059
D-ARENA SUPERMARKET YABA,Added,2025-10-26 16:57:18.163037
QMART SUPERMARKET,Added,2025-10-26 16:57:20.169477
Melody Supermarket,Added,2025-10-26 16:57:28.252434
Lifeback Pharmacy and Store Limited,Added,2025-10-26 16:57:31.507891
Addide Iwaya,Added,2025-10-26 16:57:33.584803
Staplestores,Added,2025-10-26 16:57:38.477514
Yem-Yem Superstores LUTH,Added,2025-10-26 16:57:40.958782
Everbright Supermarkets,Duplicate,2025-10-26 16:57:47.609431
"Bokku! Mart Herbert Macaulay way, Yaba",Added,2025-10-26 16:57:49.655132
"Yem-Yem Supermarket, University of Lagos, Akoka Campus",Duplicate,2025-10-26 16:57:50.929496
Megaland Supermarket,Added,2025-10-26 16:57:53.340879
ONYITEX Supermarket,Added,2025-10-26 16:57:56.319103
Seamon Supermarket,Added,2025-10-26 16:58:00.814738
Super Saver Supermarket,Duplicate,2025-10-26 16:58:02.146527
ONUWA SUPERSTORE,Added,2025-10-26 16:58:04.708893
I Y International Store,Added,2025-10-26 16:58:07.984034
Shoprite Adeniran,Duplicate,2025-10-26 16:58:21.609293
Agape Super Store,Added,2025-10-26 16:58:23.936000
Tokio Supermarkets,Added,2025-10-26 16:58:29.046888
The Ozone e-centre tsboi,Added,2025-10-26 16:58:48.030706
Tejuosho Shopping Center,Added,2025-10-26 16:58:54.268897
"Bokku! Mart, Owodunni, Iwaya, Yaba",Added,2025-10-26 16:58:57.184641
Emperor Superstores,Added,2025-10-26 16:59:00.411680
Temple Hill Supermarket Discounts Centre,Added,2025-10-26 16:59:10.804864
Citydia Supermarket,Added,2025-10-26 16:59:12.884582
Hubmart,Added,2025-10-26 16:59:16.183582
Biobaku Mini Supermarket,Added,2025-10-26 16:59:23.042875
Super Saver Supermarket,Duplicate,2025-10-26 16:59:24.175349
Tejuosho Market Yaba Lagos,Added,2025-10-26 16:59:53.863778
Eazistock Groceries,Added,2025-10-26 16:59:58.587984
Chioma Supermarket,Added,2025-10-26 17:00:11.887202
Jendol Superstores Egbeda,Added,2025-10-26 17:00:16.189103
Happy World Store,Added,2025-10-26 17:00:24.276696
"Super Saver Supermarket 66 Ikosi Road, Ikosi-Ketu Lagos",Duplicate,2025-10-26 17:00:27.451893
Globus Supermarket,Duplicate,2025-10-26 17:00:33.696932
Home affairs supermarket Ogudu,Added,2025-10-26 17:00:40.604009
Grace Flow 2 Supermarket,Added,2025-10-26 17:00:43.632282
Chuqmanda Pharmacy & Supermarket,Added,2025-10-26 17:00:48.141497
Mattoris supermarket,Added,2025-10-26 17:00:52.844607
A - Z Supermarket,Added,2025-10-26 17:00:57.584786
Romero Superstore,Added,2025-10-26 17:01:07.316197
Chidi Venture,Added,2025-10-26 17:01:17.319688
The Palmas Place,Added,2025-10-26 17:01:19.571650
N-great Glory Supermarket,Added,2025-10-26 17:01:22.029301
Supersaver Supermarket,Added,2025-10-26 17:01:29.371783
Obi Foundation Supermarket,Added,2025-10-26 17:01:32.576063
Yaba market,Added,2025-10-26 17:01:34.831055
Fuznaq Store,Added,2025-10-26 17:01:38.517188
THE MART,Added,2025-10-26 17:02:06.891257
Lyquids,Added,2025-10-26 17:02:09.762106
Prince Ebeano Supermarket,Added,2025-10-26 17:02:13.878464
Supersaver Supermarket,Added,2025-10-26 17:02:18.008904
Mrs Temitayo Store,Added,2025-10-26 17:02:21.917758
IG Supermarket,Added,2025-10-26 17:02:25.386915
